id,distanceWeight,site,field,0_classification,1_classification,2_classification,3_classification,4_classification,5_classification,6_classification,7_classification,.geo
0_11,const,Yerington,03,191744042.47202453,204470445.000964,59371621.08377699,30700083.84395257,37371139.47650911,29883353.03376584,415433694.332069,79197207.90241617,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,sig1,Minden,01,102.7906945359481,9153723.8330009,131037.06177591556,325549.68840097584,998553.7482563212,571862.6880282925,2287312.3163923603,1631582.5290267123,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,sig1,Minden,02,247270.67987070192,7766788.081942869,0.00715478141894658,2358458.8287794124,199.18698109693145,401882.8075137906,4323366.913021012,1041.8872962611126,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,sig1,Minden,03,10397071.832674842,3680732.30601226,8.994399204262691e-9,158764.47170318602,59742.04400616008,4.5221161586848887e-11,383143.9260524995,419700.54482744855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,sig1,Lovelock,03,4173518.089817169,5653021.385828779,0.00229619919906285,873586.1278773414,41558.54072613473,288555.0184590475,1273046.3042463732,2778870.818417055,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,sig1,Lovelock,01,1376380.711906685,6757318.86992812,94016.37613952764,1563636.520512044,0.04360182195552534,105032.61344907718,2430564.705600083,2755048.120153662,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,sig1,Lovelock,02,2494077.040946926,5555505.832769689,0.00291014514086936,1639118.1394544034,282782.49807519215,141139.33461219282,2526747.568993757,2442632.4640840064,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,sig1,Fallon,01,5166856.16086786,4670479.3503484875,337814.0735131887,751473.6768937957,93794.20303983544,79341.34175058623,1127311.8675183924,2859008.9151456174,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,sig1,Fallon,02,3057653.3403680157,6773110.606312849,0.00489890638787826,0.03146561451050786,0.00687837251149565,319563.9274542549,0.34233049977630897,4935707.585480824,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,sig1,Fallon,03,404973.4848028947,10614168.836123064,7216.803463542928,146158.1849821947,22854.075398578505,903112.4774180844,526226.862866333,2461437.532701792,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,sig1,Yerington,01,307.5313794311688,14815147.431007411,3.513999494263879e-5,0.00720286048108784,5.354191411657977e-4,0.02065441462253742,0.0608781114686823,276756.45064017427,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,sig1,Yerington,02,2030410.651614376,3097329.0368216243,10322.9043409138,3049591.5064918757,76811.84842844152,30921.317547454273,4600642.366147468,2196097.1955415346,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,sig1,Yerington,03,2171983.0792180304,6763493.712979669,128708.47918087472,380816.3214045466,1301360.3492245316,177378.12718011162,2672438.2519271784,1496046.681954987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,sig2,Minden,01,107019.31989920442,55545754.95102715,4034344.096643799,1640933.187286766,3399533.6167352847,1089121.712186657,6496712.007544538,4932558.563784299,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,sig2,Minden,02,1270962.725473673,27390304.35730105,516.3124732388864,5673707.319424386,275455.75984234584,585438.8993220729,41838161.31763759,207766.56493158193,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,sig2,Minden,03,45870032.19520366,25799615.862073548,0.3018347305422655,1734485.9382961714,189861.10073791485,0.01628081614961559,1266462.822562074,2382605.360490752,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,sig2,Lovelock,03,24698065.630462155,31080002.904728044,443.501885023898,3163633.042071007,1217929.617104347,1722967.0097567774,5079760.7115719365,10193300.240548844,"{""type"":""MultiPoint"",""coordinates"":[]}"
