0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,5_cluster,6_cluster
7230430.123090254,1911317.725811745,4.31673928774527,1618415.5058844835,686848.1833450415,1072405.5551699088,2570982.428035684
3164783.2268340196,166877.07167489463,10.938481330141762,1469566.0001786188,1363833.622224958,4532227.902836748,4393099.982844215
5679565.671067035,5353271.427250627,136.08726465841272,2.5233285179373797E7,6412823.25290316,0.6210363324787939,3.452027416872207E7
4.8655098672440976E7,937025.7684361138,1.1921472548256615,2.341017186652776E7,487623.07877316914,3.1484715964867855,3709439.5505890986
1.6256697224203875E7,834983.3099422522,0.05150257440142142,5.7175934928726174E7,9060.784646145563,3.3744882512805176E-7,2922511.8639932093
5974282.682512656,950.3804782009108,0.005560850110622319,1.6446411006711205E7,2759586.3314438285,871689.3563915188,5.113603927605809E7
6092457.125165742,8025118.107885599,8342256.524125784,1.3302008667783191E7,6703837.545124867,5354782.770698405,2.9368595622719526E7
1.998110868845176E7,98944.94906221871,0.22895787600884493,2.0120972160014343E7,2.118400269047598E7,0.028697594881376524,1.5803900448285965E7
8923033.030300327,6472023.5266044075,35.21963373986216,4.834905841897466E7,1920769.6749783282,50086.50091930359,1.1479873102805126E7
138777.64235979598,2981.0899138066707,6.787543392958578,3.459233971247047E7,3373641.5353464833,3326385.794506533,3.576080668729788E7
1.0721786052443944E7,6420423.537786308,195602.28409954652,3.579841366084887E7,1106562.9273572469,8193757.784396389,1.4758152633328047E7
4064.7735140623754,116.96987760912823,19.91617083746763,573447.2834339531,4204.418292395559,7.537901204576471E7,1237306.6652697718
3.942120847083819E7,5049097.553852755,27222.91735840468,3960049.582420283,9895339.151520986,8606157.950920768,1.0239219251904612E7
1.7411557913526513E7,648880.8288777868,28044.113028545427,1.194575941424584E7,1.3643666782887923E7,2.094071950282414E7,1.2579639870410573E7
1.707358796388596E7,2.9809529273005076E7,227803.19892902585,6.419786449390996E7,1.346695537625149E7,20111.730139131927,2.137154527483675E8
2.3128283083109337E8,2729000.5877174707,7885.478722227402,7.6588930670583E7,4517511.116420674,9704.802442221533,2.3375471417619113E7
7.953042593706201E7,1050969.2497812302,2387.1297988211354,2.344591175585157E8,4614491.914592758,2.547792149347811,1.8853172714604195E7
2.3793759292530272E7,1348983.8598803852,363.17586288826726,6.0998246685720466E7,1.8388915171104815E7,2851322.376008765,2.310841228513611E8
4.4417663994120196E7,4.7642627138180114E7,4.548804503423204E7,5.1700469811525084E7,5.557679199704379E7,8008049.4148964435,8.563249277884904E7
9.157203584652992E7,905365.897133644,6598.301681164938,8.679210791898493E7,1.0122126276622099E8,1093.9158131126212,5.796711789627999E7
2.726415958200024E7,1.7538952721354965E7,59109.417634962716,1.8485175875615346E8,1.8074130652389284E7,6714369.845460251,8.398919293911596E7
1.3277551915776871E7,1932601.9462702814,15092.915103063615,1.2086186655046612E8,8704244.600661866,1.918683747624086E7,1.7451374059580162E8
8.459883051176195E7,5.238107526540216E7,4882907.456811868,7.59916116065746E7,1.1828855193912894E7,5.2653709891460806E7,5.615389208647934E7
9443381.686648346,640314.6369431426,91236.54702024818,9005801.125837628,4938486.925689847,3.0477644276221967E8,9610447.854982145
1.429846280614217E8,3.627714192378966E7,2059883.4021262433,7042610.272004648,6.526161948800013E7,4.991305271474144E7,3.496771424692176E7
9.846281403662218E7,1.5654247022177141E7,1272287.1149098927,6.536938750993357E7,3.9787913376895815E7,6.6808030690035775E7,5.1151854319548205E7
7.439184742452095E7,7.657200492128496E7,4408631.443778839,1.2536309894699201E8,1.7958308549536325E7,2148018.0951619474,5.1104797954790545E8
5.534465437604463E8,9954169.395984422,253665.3428225059,1.8021979291650453E8,1.6609398916218013E7,87211.9606800256,5.131917845593471E7
2.0757370031010628E8,6930833.980460083,277941.7116114499,5.078059902804123E8,2.4940701255542252E7,1963.9286058597932,6.4356989272879794E7
6.611752391648033E7,1.2160628936723923E7,52375.867861079154,1.6572555685833398E8,3.664352578681737E7,2.9210566332969155E7,5.0187039183690256E8
1.0617035888511777E8,1.6491583536832997E8,1.2241775335077526E8,1.0596852612922874E8,1.1453578727286766E8,1.1421465848553969E7,1.8635186738405156E8
3.065971412881441E8,2.648819321862457E7,753822.1363978067,1.704653055368255E8,1.8995376698791757E8,124985.10256216649,1.1739704033750217E8
1.2246479299695894E8,3.924388930166467E7,476418.08579590684,3.207087908061249E8,6.1883030336234905E7,2.1883256068933323E7,2.4518264138640746E8
6.064978961718576E7,1.464013123970282E7,130797.56860093182,2.8301395121719956E8,4.76984750180218E7,3.998523952429786E7,3.657250630979563E8
2.344094333881974E8,1.4407710683477926E8,2.0950096520958252E7,1.2912205829898286E8,4.797994960069922E7,1.077200457930453E8,1.2758223076385696E8
1.730570430306059E8,1.967192481615975E7,2233685.884937817,8.383892854135585E7,3.322471507725811E7,4.5889276257950294E8,4.095837842550732E7
2.6938405789846206E8,1.2694342256667227E8,1.9482512015067216E7,1.685609352190729E7,1.4742491053000718E8,1.5683967849786395E8,7.494805460841589E7
