0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,5_cluster,6_cluster
1.5488038544231874E8,3.876300066302537E7,4233566.931764421,346827.8597653075,203891.865199028,3.9152872118193614E8,2.219317267956113E8
1.3425524578861374E8,3.586598610965583E7,5684643.493168977,228676.3308010474,0.0,5.462222297062843E8,8.95237881075743E7
2.838773482521889E8,1.4356057213768253E8,7.545259452243803E7,357498.7234718468,0.0,1.9252247660369444E8,1.1601110399945731E8
1.885759654030435E8,2.427844804386246E8,2.769181182965732E7,422425.12749464065,4287.136452823506,3.3420056810504615E8,1.8100716567651454E7
1.0137073396873651E8,1.1241645542034979E8,5.8155194865623064E7,1.9618824454112764E7,205980.6798073434,3.628379184930049E8,1.5723771110048985E8
7.28055610001926E7,4.7554718795471236E7,2.144423379426691E7,3543453.6873631664,148281.1779151585,3.479718159629134E8,3.1837538286484694E8
8.210882337443957E7,1.167174710532334E8,1.9099647108032283E8,5.991124942957764E7,1.2409125026463332E7,1.856369969252054E8,1.640607843112768E8
9.425956260676552E7,1.785973913967348E8,1.6425446614187056E8,1.4794034644091291E7,1407185.1967625695,2.7815661057818722E7,3.3074913731128556E8
2.414044102804629E7,1.3573472315532875E8,2.3104486838917264E8,2.0114831988541278E8,1.1599385017916782E7,4.362622371295054E7,1.645847684495651E8
2.9697203142640032E7,2.299470287244462E8,2.375503269992526E8,9.62574641368385E7,2.304711744215554E7,8792948.85157771,1.865863614292623E8
2.41265446575402E8,1.0606150959343947E8,1.465840883204577E8,7.93023284962746E7,4046725.5281780115,2.5381797145705122E8,8.97602762639775E8
1.8548951070444044E7,1.1320316735978222E9,8.575959843593466E7,4631123.446848371,425175.1582746587,4.4301383545933664E8,4.427046211624042E7
3.407908553369746E8,1.828152270602683E8,2.6585071843820915E7,1653654.7924252008,942185.2318155278,7.822519496468954E8,3.9363859560333806E8
1.9675351267834815E8,7.685935614892732E7,2.236543222603034E7,1761726.9135063875,0.0,1.168053789400725E9,2.626650744827097E8
5.339444528559433E8,3.9772917685679543E8,2.2261755882057738E8,1.2051987981737075E7,0.0,3.7604137775465286E8,1.8607697947151843E8
3.198450798205028E8,5.0040236042968965E8,2.1921497161627793E8,2.6597799181145504E7,970823.1229923384,6.1029213744604E8,5.113463550780053E7
2.1197381548349118E8,3.847488145214441E8,1.9663457890879342E8,3.0138319410377927E7,2250099.898711073,5.335069577057033E8,3.693331274613004E8
