0_cluster,1_cluster,2_cluster,3_cluster,4_cluster
1.3408588885349941E8,1.5231541294870636E8,7.361810230002506E7,2.2988771075625122E8,2.2193380634204113E8
4.084552052928747E8,1.747224214271688E8,6694579.258063472,9.882811385682748E7,1.2317711852038959E8
5.038631371842937E8,4.5628154344632454E7,5.5854114929596104E7,1.9069476206727755E8,1.5838561112589128E7
2.5596493700465822E8,1.7725725772343135E8,7.351805354763557E7,1.8842201115494415E8,1.1671619129549856E8
7.879376468459394E8,1.4883566558424807E8,4.201788782267387E7,2.0123293467351523E8,5.486566976841977E8
5.741748497164017E7,1.1270203304147563E9,4190394.6738315187,1.0815942826941106E8,4.318931809552511E8
3.011530049961316E8,2.15040303301683E8,5263880.604543885,2.068472553389929E8,1.0003730952741919E9
3.530959406814605E8,1.8846423120775905E8,1.9706850485616706E7,1.0000122180904926E8,1.0671906476663538E9
3.5717012071606266E8,3.247898386374398E8,7.902906467856301E7,2.4040505668331876E8,7.270674530258517E8
2.159331573507447E8,5.2225714407738036E8,1.103319773358432E8,4.324288921498272E8,4.475066362106247E8
3.5951011127327275E8,4.226075756539115E8,3.28179050927578E7,3.339612510261725E8,5.796888703437053E8
6.267631163609304E8,3.165633128937999E8,1.4900220140828017E7,1.3848346373504463E8,6.318768245566652E8
2.9703214455810124E8,3.331801235851126E8,1.7383059617796838E8,5.1706988635527194E8,4.07469524194669E8
5.784306364595432E8,5.918632954786469E8,2.6398717207650173E7,2.845727247084678E8,2.4739090701587397E8
9.924794619855E8,8.063152730639324E7,1.9729516524175516E8,3.284333386279035E8,1.2981936590876968E8
4.971832407726964E8,3.3162379572200024E8,2.5140639372139665E8,4.3561899261476517E8,2.1282560548601747E8
