0_cluster,1_cluster,2_cluster,3_cluster,4_cluster
2.9093051851256073E7,221.2817297152742,1.2233511321237199E7,6288564.769464915,2.95840071839296E7
3471471.3962553167,2.10262523071888E7,4.9216917626191586E7,353257.52091985644,3131464.4268285893
3103763.2529410347,5.02184002830178E7,4307403.207498145,267320.8342845279,1.93023005852758E7
1.4365021905373894E7,4.017971629026617E7,3219305.51435549,1.4266615179954352,1.9424913902523506E7
7799364.129746518,2.0529929619343653E7,2.5745643441933744E7,266087.717690795,2.284803145479885E7
2187713.827486054,3.438430354358934E7,3.618259316084319E7,63.050716454960224,4434255.611292798
1.4520572966665048E7,3.265014548121404E7,1.132350369391707E7,8593026.119479252,1.0107631212934654E7
5.116539744007209E7,1.796802697093536E7,42074.28364957792,3671.0815478732534,8015769.473238772
3.2470015635915406E7,7621533.270531455,9857631.803808782,8131296.602327139,1.911422156766962E7
1.5762841102627832E7,4213063.654167905,967447.6595413708,186584.01488709432,5.6068235641095914E7
227.63072987071072,120.45304683433247,2.0308714829004273E7,4.340542689065243E7,1.3483805075374993E7
411112.0461906203,42.66852759799906,3.597327381577417E7,1.0040741683861908E7,3.0773098211431585E7
1.371013622713124E8,1177517.548581803,2.8364970024037063E7,3.3547918363710433E7,1.3831953657684737E8
1.89714109284398E7,7.65529610285753E7,2.3458598109162384E8,1848139.3132538127,6552842.542706196
5.281448873551531E7,1.7453255119387245E8,1.690884758192092E7,305831.7050890129,9.394884783574954E7
5.627359654088524E7,1.8623330325479582E8,1.7511250005868085E7,27210.487632996814,7.842035312328783E7
1.472222768169033E7,8.22871555636554E7,1.419346767099246E8,3340002.771921573,9.61820774416545E7
6786672.138885647,1.5421886086638165E8,1.631754358509169E8,204752.50960834988,1.4079861176851753E7
8.161801227253643E7,1.380620588557537E8,4.7956843610857554E7,2.4374205684167016E7,4.648055349079318E7
2.4825207727549243E8,4.613760316849684E7,1.090399247180722E7,2060905.0671463711,3.1137358017373238E7
1.0178144063835734E8,3.7590659351765595E7,6.977163922659877E7,6.942216649265218E7,5.99249763030308E7
5.553871728653572E7,1.4139279634916766E7,4.088532564876236E7,6349029.899384634,2.2159375906974143E8
1273404.9089280106,666790.4311362527,8.814804980490929E7,1.6948631468068147E8,7.893209028334011E7
2318100.6820000345,91710.57082879233,1.5905490595559388E8,7.432501431154834E7,1.0271680255015242E8
2.9795730618829906E8,3.496438612870189E7,5.83195932386914E7,9.358974343601665E7,3.2705885993746114E8
3.391364429841058E7,1.8691005088016087E8,5.68754882981406E8,1.2081444292120522E7,1.0229938296493689E7
1.4369995401587588E8,3.637130455152008E8,6.139872487550124E7,2674519.8126674797,2.4040187652037278E8
1.7934767533821166E8,4.200165142843771E8,5.8306199180024296E7,2013686.3148826505,1.520964944186031E8
4.343941408811845E7,1.70127193080145E8,3.690019997184057E8,2.817576957943444E7,2.0103721777282423E8
2.5131705328251917E7,3.197468364097124E8,4.320346226033116E8,7480008.903717095,2.7387081362978607E7
2.0512929091349202E8,2.593831860983147E8,1.776020872904013E8,5.4519131174034774E7,1.1520912350587976E8
4.9547949708678734E8,1.1226763207476121E8,7.249608579149036E7,1.546191520521113E7,1.1613831712470376E8
1.8789986858269024E8,9.584244232123083E7,2.004049559017855E8,1.9721729214263117E8,1.3047636225218196E8
9.743357648305616E7,1.839440926955467E7,2.676840946595341E8,1.0163591912301971E8,3.267294388201595E8
3.8460877745063975E7,1.735051643711289E7,1.7899176457424414E8,4.044996418214636E8,1.725759290605063E8
2.3937053420256726E7,1310861.8669200828,3.255696908242685E8,2.6747708970013374E8,1.9358375491458723E8
5.0315171628966016E8,1.4891380655011156E8,1.6486522662397757E8,2.0122002170151412E8,7.105300614453197E8
1.0920894450078472E8,3.658793779991354E8,1.1898628417472053E9,4.406750184772393E7,1.9662153190047298E7
2.2028593736958593E8,7.263478145113552E8,2.4417009708789584E8,1.7808763095461525E7,5.2006492745123357E8
5.621326159330237E8,7.972631790240637E8,1.2652441326572734E8,1.0780061680869091E7,2.3175862194656438E8
1.3289413666673666E8,2.9492701876272833E8,8.657358672314267E8,1.2033011580415367E8,3.145743952761869E8
7.676613013583046E7,5.646959986129059E8,9.004981892100458E8,1.3039499954726493E8,5.610248961840393E7
4.529485101233529E8,3.3425623620153016E8,5.662690628175874E8,1.2325044516413325E8,2.518614590832145E8
8.458494045117383E8,2.74093560704172E8,2.4187359813643873E8,8.066063359479687E7,2.8610974074012893E8
3.293790199113848E8,1.7376750122792375E8,4.98639110985509E8,4.49107482150862E8,2.7768916059544826E8
2.3942526134926993E8,2.9338218179389007E7,7.771538145220162E8,2.7937974572743976E8,4.033592410920789E8
1.2995906673679599E8,5.766636936143889E7,3.590836100642866E8,8.533740159595156E8,3.285757969482727E8
8.339507115102398E7,1.134059905720859E7,6.148834107579101E8,6.820010089003786E8,3.370379384503747E8
