0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,5_cluster
1.396909739973791E7,406.29331643378987,0.0038510680781689826,2.866974233589072E7,6844627.612596327,2.7705055548555255E7
6026714.010561753,6584624.342373556,246.49400953589236,4.17521905957671E7,1.413874789107734E7,8692356.14042584
13466.599646311895,1748.6214965696129,0.6901057908508587,2.780232015808816E7,4.8880430634425454E7,496972.5456790661
9710807.360149283,5119360.166703857,145097.3362821878,4.1966774294392884E7,1.7267043014126625E7,2985616.70860027
2024.2310489703768,71.71580250881183,8.911628687655618,1.3674633438080654E7,6.3502312111172326E7,19121.664578885568
2.745120877438254E7,2004653.3151164819,23826.191656858475,1539153.823654519,4.017587030080891E7,6003582.473194385
1.2308589330057435E7,412304.0318771318,12619.088938004958,9713030.494772024,3.3015002818417422E7,2.1736722661724985E7
1.8906391957301088E7,1.9057001493654933E7,116874.98300534855,1.0898489459988919E8,1.661717328424033E8,2.527440890823657E7
1.3336741668216571E7,120456.85398544167,407.63543754329265,9.078734568447949E7,8385088.56532011,2.2588129449716622E8
2.306260724798834E7,72736.52376588454,3202.719313081606,2.2785108308759463E8,5.625792833524196E7,3.1263009138245214E7
1.7400105532446217E7,965777.3989096399,970.0504857916815,2.252064700848382E8,2.1813658021520343E7,7.307873232427204E7
5.021443295370116E7,1.3139270733095683E7,2834.3757716909663,1.3867953377105317E8,5.500504831918673E7,8.142502001603687E7
4.3249081646780886E7,722110.5742482059,779.9267601720253,1.115876080024261E8,4.9161392024291426E7,1.3374461036813793E8
1.831507648277326E7,1.8269547241103668E7,196192.92619062003,2.04269876989219E8,5.926666402343747E7,3.817431625138185E7
7120348.076453142,1316242.6456093316,4116.5339327988,1.0964094023561889E8,2.068495896954147E8,1.3560698813286524E7
6.973399049762277E7,3.975222690597589E7,3930604.5364797483,1.1890897503033671E8,6.3982853383957826E7,4.218223165803042E7
5869609.966959564,406143.0835606468,41456.823764898196,7.540827507347305E7,2.3872266685939386E8,1.8057959732188225E7
8.184467011694679E7,2.2528326578413427E7,1418469.402409846,4263326.325282006,2.110071596724776E8,1.7444698013469502E7
7.851533136839199E7,1.1689550853016686E7,921316.8860664355,6.166042062347614E7,1.1537757475395964E8,7.034233958520953E7
5.363665424582321E7,5.026691667296745E7,2750815.564077181,2.7682216413249826E8,3.8225593950429314E8,4.615739880951649E7
3.672460064036355E7,1648222.2358953806,74372.51798957636,2.0617967413158303E8,2.0688888767044336E7,5.465742024557141E8
7.38439676464585E7,1518345.444849203,333416.1728349455,5.064884875243503E8,1.408606418458144E8,8.884326210531485E7
5.075165869809403E7,9926106.957027903,124739.21075070291,5.156154470442544E8,1.0050116598653638E8,1.3486145163943326E8
1.0354343390215935E8,3.93449740642506E7,480818.0343618238,3.382896795969349E8,1.5739721001076302E8,1.727254786304616E8
1.6399386649305016E8,2.197883098835457E7,236246.8096895644,2.1483869764225158E8,1.3545359444099486E8,2.752790182336379E8
8.828818731621347E7,3.629074017844538E7,783497.7500451987,4.063604962896113E8,1.5710584819938275E8,1.2301404924842301E8
4.3156137446417235E7,1.1137522494707454E7,90374.15491278982,2.7045820633133763E8,3.995446598636657E8,8.745654699192327E7
1.8886236958133277E8,1.1164116818202275E8,1.9296429573638055E7,2.223512058344429E8,1.3413803542966843E8,1.3555171259941655E8
1.1066877129089701E8,1.2210962696698451E7,1058535.252137651,1.2461904428765182E8,4.0711454856188715E8,1.562055762660507E8
1.455629147089622E8,9.259652946260028E7,1.4412935256922789E7,1.6020081724466568E7,5.038555925451048E8,3.943067594033206E7
1.7696998168341267E8,9.192958538814996E7,2.1316338998326823E7,1.1780184989521691E8,2.548077975890489E8,1.4905289717201087E8
1.3815228158824736E8,1.102729536512242E8,5952851.868649345,5.520709677899697E8,7.846253814772867E8,1.3760639623519114E8
1.2963029730151093E8,7920581.966336774,1358405.790437064,4.3282699841698176E8,5.6678947790268E7,1.1002655880193658E9
2.3965020272875905E8,1.3043399403711691E7,1685695.2057286543,1.001141380022922E9,3.0156807698955756E8,1.7158878516486767E8
9.525543141771528E7,3.692919244205263E7,1078332.5419593297,1.0676425813467368E9,3.530660455710978E8,1.7448730853067726E8
2.05653354108706E8,1.1881190575297819E8,1.659208445244949E7,7.279227089506559E8,3.561356061513177E8,3.0334587432512695E8
3.7395103031386256E8,1.8628687979408032E8,2.258115739747244E7,4.476931810298542E8,2.1586359638027012E8,4.8208196220889616E8
3.3215150658864295E8,6.942097156601681E7,2850947.7342260424,5.800952727293328E8,3.580003206118245E8,3.860666941597722E8
1.291361233200911E8,3.9906869898104064E7,384437.93728483137,6.328815151045741E8,6.25500236722991E8,3.0077775470422053E8
4.267049261637287E8,2.6301488736763006E8,3.783011524336685E7,4.0834261727332866E8,2.962896605529496E8,2.964000682701156E8
3.23827800796797E8,4.430619962283599E7,4343227.832921543,2.4895698922932392E8,5.760328022836013E8,5.3118926110470057E8
2.4181235078804675E8,2.1321714221044284E8,8.227350344002709E7,1.3065726552880903E8,9.91755469438273E8,6.894312766472155E7
3.711495848117601E8,2.5756802748880988E8,1.060549457470575E8,2.142310297040788E8,4.944657971508124E8,2.851886434143642E8
