0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,5_cluster
4.2830845532713145E7,2.0671475854539335E7,622067.6188084816,6478204.383445985,5351187.901521454,1235147.902918416
9572729.083939608,5012942.984380041,9720470.405353073,3346076.0231057396,2335571.7655063486,4.72070892119339E7
8828734.973676972,1867036.8401006674,1853.711194129894,672215.6367874132,19842.218004219765,6.580525586965642E7
1.8293961822137676E7,8547188.092180397,5577562.061542528,4732763.434416205,4726773.774554763,3.531644969541758E7
1431018.9294478477,127176.81434264347,228.86950324119297,58030.23126439289,21739.257746267707,7.55599779700072E7
5891318.712592327,6944838.503234282,6499073.652202384,6653938.8938551955,7789639.686977983,4.341948542993875E7
1.508905027280125E7,9414817.618325353,2655189.7831830163,4736242.768683499,5205200.672228239,4.009776731056942E7
2.3906745140157294E8,2.665065875344722E7,4205192.806575378,6447079.671875859,4.6627579825636074E7,1.5513342325383475E7
9.85069768474652E7,1.3312176697574453E8,42800.40877856247,8.984274063881361E7,1.6990861567132723E7,6188.46667575809
4.4822078069507495E7,1.9967340640181077E8,235104.03847508185,8.674068754622114E7,7028533.618007775,10757.378122844662
1.7359905141952354E7,3.705479802671601E7,2338190.582555787,3.0626163810112342E7,9147892.033078765,2.4193876381805396E8
1.890969801674086E8,2.453889395185306E7,6147991.042806014,1.6164662673792718E7,8484243.792570313,9.403336854041691E7
1.8759588316200137E8,1.0163016863442191E8,2270894.555645011,2.649753478779528E7,1.643637147089223E7,4034729.9318907666
3.944955599011864E7,2.535804994581209E7,2.0702149459909417E7,1.4482523461199038E7,1.2547368709981207E7,2.2595202634708506E8
4.285138236056443E7,8965667.01458315,1278070.750958258,6287972.8046467155,3039706.5496904044,2.7606913651987785E8
8.442865661395915E7,4.120274228212884E7,4.369418179484072E7,3.5920593887649566E7,3.875152023488662E7,9.449318719894055E7
1.7580568715882163E7,5684405.816639511,601236.7881439548,2781744.447714583,1703811.0708077652,3.1015434470015514E8
1.7592558747258198E7,1.8559743876949053E7,3.1358915437214028E7,2.096230706752685E7,3.3274066467383392E7,2.1675905851266575E8
3.677505960564077E7,4.9995117280131236E7,1.5463231105704151E7,4.5828087202229224E7,2.423564492379544E7,1.6620939395262325E8
5.275501147775161E8,7.336137761863378E7,1.2322122492817398E7,2.7942665502525903E7,1.0807693750458658E8,6.2636671033087775E7
2.2409550542226583E8,3.392949375733384E8,358607.94228235795,2.126996330602886E8,3.526314546782339E7,178131.28260320285
1.0513199037408862E8,4.661936214757161E8,1016846.942894919,2.157535939657151E8,2.264936160342017E7,1142706.3777923486
4.8257479116576515E7,7.977470228361617E7,1.0481594900387386E7,6.113158851897573E7,3.062844796779366E7,5.815067567487447E8
3.772265746467283E8,6.094592347877445E7,2.0952254023476988E7,3.6981392954751566E7,2.325955721733235E7,2.9241589191786E8
3.5975198752143455E8,2.59987602435526E8,1.146163700558357E7,8.908745642753449E7,5.947168698259486E7,3.2019884235298112E7
9.833757844384375E7,7.801989758997837E7,3.77458429743457E7,6.3131461672508374E7,5.359133629911716E7,4.81016702002325E8
1.249255938965851E8,4.453313298331836E7,9371278.391063098,2.9860954457218185E7,1.8410003725209348E7,5.847424838295579E8
1.9258863492434132E8,9.914262845363428E7,1.1085229152420922E8,1.0228119783662596E8,1.1790800117494285E8,1.8906816728676376E8
1.2226369988967165E8,6.505602914296382E7,1.3700225949900566E7,5.00154750769056E7,2.884157053372427E7,5.320004377621646E8
3.259885817009785E7,3.2694312095421106E7,9.903286162287124E7,4.260279829890534E7,7.4504838041101E7,5.3044506140999615E8
6.2320119185256235E7,1.2704773650069743E8,8.292987886026E7,1.2466823691385806E8,7.038519449777868E7,3.4452728476832724E8
9.325006616676369E8,1.978222536666041E8,3.0320820737988856E7,1.1852133668694527E8,2.2754073222716698E8,2.2197502762422368E8
4.7951899094996274E8,6.924588112072794E8,3277791.774164643,4.69775063585966E8,8.17318307199665E7,1918331.0475456594
2.844376127028345E8,8.769446729671144E8,4282339.944963392,4.59204101019537E8,7.551558819405669E7,2.829322468703585E7
1.5354573770509407E8,1.437680571801848E8,2.7763102587811593E7,1.1694196359779902E8,7.11430118212636E7,1.2152970189580808E9
5.905185678998516E8,1.4774051820291656E8,7.97640314350878E7,8.37898855943249E7,6.534277549848658E7,7.61305755110566E8
5.80898095092061E8,5.058341748751936E8,7.604361718988682E7,2.2569958237423214E8,1.8344286487692E8,1.5653947271614236E8
2.4599754831082833E8,2.0825402704583597E8,7.834618618076205E7,2.251762206117612E8,1.7786374022107738E8,7.929479910195515E8
3.482273904661331E8,1.503626343295275E8,3.2450840527502347E7,8.513353348980445E7,5.3061754801875144E7,1.0593507840724249E9
3.568194379124822E8,2.2202884315181836E8,2.4563492037925023E8,2.0986069866666743E8,2.7407288890558815E8,4.201654858553211E8
3.138977090847106E8,1.9452741256327692E8,4.715745627547185E7,2.1917685454585534E8,1.1802715552855697E8,8.358696928723011E8
7.490758928395459E7,5.7089286626012705E7,2.4392970451798892E8,8.511927980260956E7,1.5204939966684565E8,1.1155635991729236E9
1.1504285563747402E8,2.837250111849216E8,2.804343615790191E8,2.4934187194051412E8,1.7453360966484165E8,6.25580318310123E8
