siteId,site,field,distanceWeight,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11
Yerington03,Yerington,03,sig2,6.645254047226555,4.125548213522367,0.1728673348031579,529.6244000818867,45.78215577907209,1846.5040936164894,3172.151557289545,635.6249339744958,810.3855593989522,224.36223334962693,1253.962032951459,1.0191153973173463e-5
Yerington03,Yerington,03,sig3,22.79368257087732,565.7160936069758,29.462726167766633,1470.3312498399328,83.1005999460395,5283.392406552352,14991.044318849938,3104.0531736983526,2494.658127236172,495.48192417735044,8860.877992595446,0.27741415442815404
Yerington03,Yerington,03,sig4,202.4165803147089,6799.364293494732,860.2001900262326,4290.861326964063,102.54469414382967,12820.693935690842,28817.726188772762,11014.630032082901,4839.648670303758,1465.5092860966934,18464.254019553744,25.877860605093886
Yerington03,Yerington,03,sig5,894.3734178950424,24809.07047235998,8190.75893598259,11988.347564142046,200.19350619538338,28274.959006973553,45566.68554290593,29805.950220020823,8468.602383900967,5154.7518314149675,27399.99230653196,256.7299643779942
Minden03,Minden,03,no,93695.45098039214,2065,1887.8196078431376,2466.4156862745103,107.98431372549021,50643.203921568616,160454.1607843141,3493.137254901961,7457.960784313727,802.4745098039215,24260.2588235294,0
Minden03,Minden,03,const,34218929.836084,729308.014205463,483241.92471893196,927759.0605722498,15617.770577838304,18499490.905939218,55414345.78819484,1163962.125849805,1241499.8028573962,346585.6295005803,2590553.9283126765,0
Minden03,Minden,03,sig1,46.17128968119795,2.4120521481168067e-13,6.219786415905514e-4,1.4513542577224868e-5,4.466920589964655e-12,86.6417590631337,1492.7253747124819,31.679951885941612,1.432513939732486,6.243956637249529,2.1788472101679795e-6,0
Minden03,Minden,03,sig2,1869.3173880205995,2.4527730229711454e-5,1.3491808529948364,0.4448813216523786,3.0843576696412923e-5,582.4092004504054,5817.347973619091,211.36997818424084,12.478324937678261,22.36687494513118,0.23484840731452378,0
Minden03,Minden,03,sig3,9900.382790892496,1.176798905002657,58.0137089782089,207.55388554098474,0.2793809476390902,6607.937307670272,19903.51689344658,337.4587652935446,51.35252603014976,55.17060294378676,225.10758258542302,0
Minden03,Minden,03,sig4,25171.867929552103,150.5433261739547,264.19878043994885,1115.600061868545,8.728914017631102,18636.5333208343,41930.06555353668,685.8431014857341,319.2685809176736,213.15737774964416,1080.1460938707312,0
Minden03,Minden,03,sig5,59071.04434384719,1572.1908523988807,800.53686880738735,1561.766356049141,23.026878985613003,29901.74923981549,89996.27104635134,1969.3513011810667,2051.068130794889,677.8172071240763,3113.1786050689125,0
Lovelock03,Lovelock,03,no,1236.8549019607847,873.9019607843135,3085.8117647058825,8373.439215686269,1158,88609.87843137258,220262.1803921571,11346.572549019611,10613.776470588231,3052.799999999999,3247.4784313725495,1257.717647058823
Lovelock03,Lovelock,03,const,292005.408313215,231922.4195270152,1420871.26004884,1786374.3646146292,814082.0316347044,26432252.21293354,76373574.04055208,3551853.838735402,3444527.7404795415,766755.8016219065,2065449.0478489841,330651.9355293147
Lovelock03,Lovelock,03,sig1,17.452156373107353,7.133504534078176e-14,96.6535361275721,17.50982904601029,5.253873073402017,472.6583861647226,821.7351020994023,78.57125211692183,147.27131268961358,1.184088942296296e-4,34.79335625787564,6.430223478968662e-8
Lovelock03,Lovelock,03,sig2,38.91063077017267,9.097362550004918e-6,409.9217370517158,174.85566714883728,113.96772063617249,1482.8806633836502,5165.452245139447,218.75425971730425,632.6657028684649,0.17546594231265192,418.13379432549715,0.01871328598852294
Lovelock03,Lovelock,03,sig3,71.0507195152259,0.4288611101113552,1130.8598209103427,547.3807078499669,662.6924839172207,6381.669851549419,24917.502336111498,691.3063476757603,1740.9053156291054,40.54213600738645,1738.999996237811,31.473040800634458
Lovelock03,Lovelock,03,sig4,183.89873811757664,52.43022995316712,1598.1144578093845,863.9702070016589,1089.9185431557353,18356.618418757116,60045.073644623495,2609.994149195764,3108.393689863699,369.9058602005162,2525.9288188445953,227.2641567314032
Lovelock03,Lovelock,03,sig5,436.8971033499633,462.2001292431398,1853.954148785871,2547.154892386374,1145.7044147849056,43420.69209420891,128126.35751736665,5985.535009798555,5068.117273637923,1387.4625865704272,2878.656333737207,527.3345500079196
Lovelock01,Lovelock,01,no,11436.282352941178,30478.152941176468,352,12777.090196078436,3321.56862745098,127511.05882352934,80633.04313725485,43562.87450980392,13410.411764705887,11211.435294117648,16918.627450980384,1449.5803921568624
Lovelock01,Lovelock,01,const,5287389.054403018,5518831.00095853,100448.7144017873,2931863.2834389354,1487083.352467965,43964449.6554657,27747896.0618579,12016190.822254136,5174375.725952735,4640723.085241604,8310719.013833646,311901.2043868514
Lovelock01,Lovelock,01,sig1,5.440063548041525,1.4851194092103057,3.454214075544171,87.66864760745196,0.28793937712320516,437.82962314306786,652.9773016630436,237.06658233314602,137.30801204904344,114.08004304303434,14.019618962543595,2.2432944226829724e-8
Lovelock01,Lovelock,01,sig2,164.11369902331597,26.87565357272515,7.567856751787034,432.0331444413056,38.23453252547907,2269.5278518316477,2893.712010298595,860.1741405231746,884.9767824778318,449.17781888729206,628.0436981548734,0.004489932390763645
Lovelock01,Lovelock,01,sig3,1392.267809492795,1026.9932504720541,22.791990984612593,601.4864216485163,653.684891058537,11107.078707288772,10354.884653411491,3361.105201894846,2290.242873471995,2682.333500307531,4449.328741820959,6.686843397992567
Lovelock01,Lovelock,01,sig4,4593.055610809421,2273.8822772530375,68.42161163355678,1064.14144687299,1480.926477793142,33326.839976510746,22410.007149489607,8247.199825268397,4251.055125992585,4836.9469443123835,8392.246876237527,72.46314966883374
Lovelock01,Lovelock,01,sig5,9610.674002320982,8397.129455081467,155.48663620378142,4687.690165574953,2448.164078456371,75449.62495863138,44800.2457184911,19148.97151021568,8220.692378741162,6876.838765601115,13463.030997886855,551.0437401817634
Lovelock02,Lovelock,02,no,87.38823529411766,36757.54509803923,150,577.9882352941179,2776.258823529411,36954.823529411755,108010.78431372544,73824.5529411764,10481.576470588232,8851.666666666662,72088.09019607841,2571.8352941176468
Lovelock02,Lovelock,02,const,19555.576950367267,5261884.229576205,118103.2808815551,168493.81189290187,807907.8194330158,13632567.598436825,40509897.97278472,20984495.1383076,3230006.663052701,1495897.5822088516,30558061.642664734,727971.9416502564
