system:index,0_classification,1_classification,2_classification,3_classification,4_classification,5_classification,6_classification,7_classification
1_5,2.346355931056611E8,1.943944183539985E8,4.4311784601418994E7,1.4095035684612542E8,8.914423371183705E7,3.3223717181838185E7,2.2971028286558172E8,8.154796022565809E7
1_6,3.55051972976576E8,1.4803701640333396E8,1.8322314874116402E7,1.0390414094292417E8,4.354625254940949E7,3.0203869395822488E7,1.969172380143726E8,1.5201602556438047E8
1_7,3.762400114920174E8,2.8598315619352555E8,7234498.510280753,4.282064254538531E7,1.2879824302280651E7,1.5573625309830852E7,1.2625477425107577E8,1.8101310235988784E8
1_8,1.3048914263699132E8,2.5844385981162077E8,7.520568620074663E7,1.925065291284776E8,4.9298055161256164E7,2.3711638632128254E7,1.7336775573587248E8,1.4497371751968712E8
1_9,8.97578710168336E7,4.778876061013457E8,6505147.625361433,9.102432933812335E7,2.7406394648904257E7,5.595222414145799E7,2.4008864235641307E8,5.942111811599175E7
1_10,2.939724738517961E8,3.0819823590162206E8,3.110667887590556E7,9.29044025986579E7,5132705.762022672,6.066585033548921E7,2.0321666792311403E8,5.284798832358551E7
1_11,2.0260086790132847E8,2.0336650698435196E8,4.010522139425432E7,1.2348813685829514E8,1.045011853379201E7,2.2244749991597533E7,3.704465877491015E8,7.534244988927944E7
2_0,182.24291462803063,9172910.429167222,160656.8231641161,418142.32966506726,573808.6693886351,81239.54730508095,2918308.289080156,1765363.0384000107
2_1,0.6303405832440226,8050541.08644917,8.816389285071608E-5,2357300.7061970755,57652.2495800247,1.2426768468493412E-5,4625118.044291182,4.0644238105698E-6
2_2,1.274361669746346E7,1419986.03986521,1.7368013946933312E-9,515484.00539798796,7.247274430655782E-9,5.399035026025571E-11,91574.51156383377,319917.22367032093
2_3,4112710.952413321,6488932.4554561,48.32218664978435,1046629.0843089545,80749.10695734083,97475.60361616436,1406554.2186698203,1855479.185915514
2_4,2221356.1660161214,6337451.452652417,0.15070236486716035,1705738.2612189357,1.4243172037102305E-6,478283.0453840669,2274459.1457228824,2071309.7358935063
2_5,3267578.9674483705,5340496.987306394,0.0018658531637866843,1921991.710551614,457771.84910484264,547239.7860449739,1971285.6417476556,1582208.1524455787
2_6,7187250.9207969755,3785915.2974326685,326240.5645498448,1451464.565932797,87972.48737717628,221172.97814375925,175579.83860690737,1854139.559168918
2_7,3839661.2282007392,6041995.842994367,0.003739923304004959,0.13420345457013597,0.004132919644829326,30310.272967984034,0.18238942684738085,5177780.266145016
2_8,1717268.872999142,9646493.155957103,8683.713984342976,326178.9545489515,1387.4052721503626,952797.4276346333,490228.2150641339,1946663.1945059632
2_9,0.0865960446345991,1.5090379489996584E7,1.2476200325823855E-5,0.007749761604697954,4.4792132385288054E-4,0.022299417294962414,0.05249420445562292,0.3055873051840684
2_10,1296888.9439666795,4041048.611825804,1441.1521923809007,3735839.3540963125,1.1369179990641028E-4,917487.7062080249,3859723.8260951573,1237974.2435780305
