system:index,0_classification,1_classification,2_classification,3_classification,4_classification,5_classification,6_classification,7_classification,.geo
5_2,7.869687294876423E8,7.132964326179478E8,5739516.294635074,6.220696393494103E7,2952155.219884473,2527333.3829466184,9.510391042079383E7,6.086535709145945E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_3,5.732924580724401E8,7.050733826142621E8,1.2667672052218698E7,5.168687463218435E7,2.3432156692626398E7,1.1336726200300153E7,9.009812450503175E7,2.6013657298872483E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_4,6.218281448502448E8,5.0139699497602314E8,4.165167428978024E7,7.158987727776648E7,2.6589451082321882E7,6.793900973784642E7,2.460788323918513E8,1.506318420924691E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_5,2.0404795929229385E8,4.929395049718918E8,1.6156755738727054E8,7.342539690416068E7,1.7548811412667197E8,5.886094334100634E7,3.978987674551172E8,1.6347824066718733E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_6,4.857780325513537E8,2.906085557261157E8,5.470474348908791E7,6.823976036593246E7,1.2953844674916124E8,4.9525257529550165E7,3.6034309784484553E8,2.8942955952097917E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_7,4.8933944327461237E8,5.391563059910063E8,2.323875891148376E7,3.055656839485851E7,3.637447937243889E7,2.4627407138984695E7,2.319211998023176E8,3.5294821043295276E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_8,1.172958595982326E8,4.8703367985553396E8,1.6385520708033872E8,1.3205970373078309E8,1.7136877550155976E8,3.890939665239234E7,3.5313423333432674E8,2.64518084802249E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9,1.4718548712827346E8,6.746340801683244E8,2.388971510239184E7,3.402209821558651E7,1.1633417772614133E8,1.031372526500084E8,4.855224374714241E8,1.4414113086434138E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_10,5.591147171930814E8,4.53269505955212E8,9.903040325906265E7,5.543346508907398E7,4.185402161693958E7,5.303447586358458E7,3.450724801156138E8,1.2204743069224577E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_11,3.029662764620695E8,3.343230079908686E8,1.024903029487119E8,5.062632585114474E7,6.284894145843604E7,5.059480194455047E7,6.944168357230744E8,1.3060091357583186E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
